Code,Name,総人口
2201,青森市,275192
2202,弘前市,168466
2203,八戸市,223415
2204,黒石市,31946
2205,五所川原市,51415
2206,十和田市,60378
2207,三沢市,39152
2208,むつ市,54103
2209,つがる市,30934
2210,平川市,30567
2301,平内町,10126
2303,今別町,2334
2304,蓬田村,2540
2307,外ヶ浜町,5401
2321,鰺ヶ沢町,9044
2323,深浦町,7346
2343,西目屋村,1265
2361,藤崎町,14573
2362,大鰐町,8665
2367,田舎館村,7326
2381,板柳町,12700
2384,鶴田町,12074
2387,中泊町,9657
2401,野辺地町,12374
2402,七戸町,14556
2405,六戸町,10447
2406,横浜町,4229
2408,東北町,16428
2411,六ヶ所村,10367
2412,おいらせ町,24273
2423,大間町,4718
2424,東通村,5955
2425,風間浦村,1636
2426,佐井村,1788
2441,三戸町,9082
2442,五戸町,16042
2443,田子町,4968
2445,南部町,16809
2446,階上町,13496
2450,新郷村,2197
