市町村名,1_総面積（k㎡）,2_人口（人）,3_人口密度（人/k㎡）,4_世帯数（世帯）,5_労働力人口（人）,6_就業者数_総数（人）,7_就業者数_第１次産業（人）,8_就業者数_第２次産業（人）,9_就業者数_第３次産業（人）,10_事業所（民営）_事業所数（事業所）,11_事業所（民営）_従業者数（人）,12_農家と農業人口_販売農家数（戸）,13_農家と農業人口_販売農家数のうち法人化している（戸）,14_農家と農業人口_自給的農家（戸）,15_耕地面積_総面積（ha）,16_耕地面積_田（ha）,17_耕地面積_畑（ha）,18_農業生産_水稲収穫量（ｔ）,19_農業生産_水稲10a当たり収量（kg）,20_林野面積_計（ha）,21_林野面積_うち国有林（ha）,22_漁業_就業者数（人）,23_海面漁業（属地）_漁獲数量（ｔ）,24_海面漁業（属地）_漁獲金額（千円）,25_製造業(従業者４人以上の事業所)_事業所数（事業所）,26_製造業(従業者４人以上の事業所)_従業者数（人）,27_製造業(従業者４人以上の事業所)_製造品出荷額等（万円）,28_製造業(従業者４人以上の事業所)_粗付加価値額（万円）,29_卸売業_事業所数（事業所）,30_卸売業_従業者数（人）,31_卸売業_年間商品販売額（百万円）,32_小売業_事業所数（事業所）,33_小売業_従業者数（人）,34_小売業_年間商品販売額（百万円）,35_小売業 飲食料品小売業_事業所数（事業所）,36_小売業 飲食料品小売業_従業者数（人）,37_小売業 飲食料品小売業_年間商品販売額（百万円）,38_市町村内総生産_農業（百万円）,39_市町村内総生産_林業（百万円）,40_市町村内総生産_水産業（百万円）,41_市町村内総生産_鉱業（百万円）,42_市町村内総生産_製造業（百万円）,43_市町村内総生産_電気・ｶﾞｽ・水道・廃棄物処理業（百万円）,44_市町村内総生産_建設業（百万円）,45_市町村内総生産_卸売・小売業（百万円）,46_市町村内総生産_運輸・郵便業（百万円）,47_市町村内総生産_宿泊・飲食サービス業（百万円）,48_市町村内総生産_情報通信業（百万円）,49_市町村内総生産_金融・保険業（百万円）,50_市町村内総生産_不動産業（百万円）,51_市町村内総生産_専門・科学技術、業務支援サービス業（百万円）,52_市町村内総生産_公務（百万円）,53_市町村内総生産_教育（百万円）,54_市町村内総生産_保健衛生・社会事業（百万円）,55_市町村内総生産_その他のサービス業（百万円）,56_市町村内総生産_小計（百万円）,57_人口１人当たり市町村民所得（千円）,58_自動車保有車両数（台）,59_道路（市町村道一般道路）_実延長（km）,60_道路（市町村道一般道路）_舗装道路実延長（km）,61_都市公園面積（ha）,62_ごみﾘｻｲｸﾙ率（%）,63_医療施設 病院_施設数（施設）,64_医療施設 病院_病床数（床）,65_医療施設 一般診療所_施設数（施設）,66_医療施設 一般診療所_病床数（床）,67_人口10万人当たり病床数(一般)（床）,68_医療関係従事者数（従業地による） 医師_実数（人）,69_医療関係従事者数（従業地による） 医師_人口10万人当たり（人）,70_医療関係従事者数（従業地による） 歯科医師_実数（人）,71_医療関係従事者数（従業地による） 歯科医師_人口10万人当たり（人）,72_医療関係従事者数（従業地による） 薬剤師_実数（人）,73_医療関係従事者数（従業地による） 薬剤師_人口10万人当たり（人）,74_出生数（人）,75_出生率(人口千人対)（人）,76_死亡数_総数（人）,77_死亡数_悪性新生物（人）,78_死亡数_心疾患（高血圧性を除く）（人）,79_死亡数_脳血管疾患（人）,80_死亡数_老衰（人）,81_死亡率(人口千人対)（人）,82_婚姻_実数（人）,83_婚姻_率(人口千人対),84_離婚_実数（人）,85_離婚_率(人口千人対),86_高卒者進路_大学等進学率（%）,87_高卒者進路_卒業者に占める就職者の割合（%）,88_社会福祉施設_老人福祉施設（施設）,89_社会福祉施設_保育所（施設）,90_社会福祉施設_幼保連携型認定こども園（施設）,91_生活保護率（月平均）人口千対（‰）,92_人口100人当たり蔵書冊数_（市町村立）図書館（冊）,93_人口100人当たり蔵書冊数_（市町村立）公民館等（冊）,94_水道普及率（%）,95_交通事故発生状況（県計のみ高速道路事故含む）_発生件数（件）,96_交通事故発生状況（県計のみ高速道路事故含む）_死者数（人）,97_交通事故発生状況（県計のみ高速道路事故含む）_負傷者数（人）,98_火災出火件数（件）,99-1_刑法犯_認知件数（件）,99-2_刑法犯_検挙件数（件）,100-1_財政 令和6年度決算状況（普通会計）_歳入（千円）,100-2_財政 令和6年度決算状況（普通会計）_うち地方税（千円）,100-3_財政 令和6年度決算状況（普通会計）_歳出（千円）,100-4_財政_財政力指数,100-5_財政_積立金現在高（千円）
青森市,824.61,275192,333.7,118483,136169,129400,3606,18776,107018,13400,115343,1425,5,642,8300,5150,3150,22400,609,56501,29844,554,2992,955030,166,5577,11758639,4616168,868,7062,662052,1932,15301,309307,586,6015,92902,5612,427,1911,435,46618,20959,54858,192945,65215,15922,41996,62659,119969,94357,72470,45917,118884,41174,1002330,2727,191257,1865,1268,518.61,13.7,19,4231,206,389,1076,674,251,192,71.5,702,261.4,1278,4.8,4225,1097,664,266,440,16,749,2.8,367,1.39,59.9,18.2,29,50,36,29.58,378.3,,100,573,3,688,89,1290,567,139510142,33902827,135601470,0.55,9267917
弘前市,524.2,168466,321.4,71022,92163,88461,12222,14581,61658,8037,77072,4687,12,754,13900,4140,9790,18000,609,22969,14438,-,-,-,155,8023,25553715,5595466,363,3980,249706,1411,11371,218608,419,4269,59673,27165,141,0,230,52646,12628,28695,103251,21718,11918,42160,17818,69281,44957,31518,55453,90210,27229,637019,2672,126175,1440,1056,334.43,8.8,14,3140,157,383,1528,871,530.2,142,86.4,477,290.3,826,5.1,2741,685,428,187,379,16.9,481,3,226,1.4,57.4,21.6,26,37,28,25.94,352.5,,99.1,289,7,332,65,700,289,91505052,19679340,90465116,0.49,8258063
八戸市,305.56,223415,731.2,95671,116474,111190,3385,24999,82806,11130,105095,1128,2,1106,4720,1970,2760,5910,597,10111,-,520,64296,11697345,322,13317,52320791,17248914,668,5962,454753,1686,13028,280020,475,4694,74635,10055,181,10148,2149,128379,41092,41264,156133,73268,13743,13238,28389,103059,71971,55494,42407,98894,35564,925430,2792,169984,1531,1199,373.8,10.7,21,3774,167,291,1085,573,261.6,148,67.6,488,222.8,1149,5.3,3348,778,407,253,350,15.5,690,3.2,318,1.47,60.8,18.6,25,28,54,18,242.5,,99.8,475,9,546,54,687,391,111089861,29953107,107640560,0.63,14550046
黒石市,217.05,31946,147.2,11661,17720,16845,2506,4139,10200,1378,11592,1168,5,244,3330,1560,1770,7450,606,14349,8445,-,-,-,37,2564,4941571,1714318,52,375,14236,239,1613,27797,72,820,12145,5109,96,4,0,18039,3029,5437,9886,5312,1513,61,2479,11376,5684,6853,4677,11183,4060,94798,2599,26528,346,257,25.6,13.3,3,638,15,-,982,57,184.3,14,45.3,50,161.7,141,4.6,554,150,83,49,60,18.2,84,2.8,44,1.45,50.6,21.3,4,4,10,21.79,177.2,,93,67,-,76,19,104,71,21925943,2986216,20746540,0.37,3763334
五所川原市,404.2,51415,127.2,20908,27024,25471,3401,5084,16986,2894,20942,1543,5,265,9250,7230,2020,30100,662,21531,15432,5,12,7110,55,1582,3058865,1480897,100,665,34945,542,3647,68680,146,1310,20563,5353,96,393,537,15545,5268,9848,25142,6031,3066,230,5796,19947,10519,7983,10104,24731,10236,160827,2457,43020,645,450,277.42,15.3,6,877,41,37,1097,126,252.6,31,62.2,129,258.6,197,4,972,248,130,70,102,19.9,123,2.5,88,1.8,46.9,29.3,18,8,14,29.77,255.3,,94.8,80,-,100,44,212,123,35462357,5351946,33189180,0.33,4112646
十和田市,725.65,60378,83.2,25540,32655,31370,3736,7144,20490,3064,26153,1865,3,442,12100,8280,3830,19400,613,48284,27035,-,-,-,75,3029,6098861,2455473,159,1285,77809,504,3872,75521,143,1503,21945,13812,327,6,333,30623,8309,16798,34421,9311,4201,738,5125,24325,12258,11121,12540,25975,11273,221495,2615,54208,940,740,194.47,13.8,5,978,37,67,860,116,196.5,25,42.4,116,196.5,280,4.8,946,226,138,79,68,16.2,138,2.4,77,1.32,48.9,31,5,15,10,19.33,343.2,,99.3,137,1,166,25,235,113,40068229,7205192,38681159,0.44,14961248
三沢市,119.39,39152,326.6,17252,21830,20756,1426,4992,14338,1893,15305,374,1,62,3610,1710,1900,1230,571,1937,157,100,951,497469,31,2155,8549519,2631509,45,301,21261,281,2078,41171,79,815,14237,7626,30,564,0,26461,4052,12730,15370,3827,4378,777,3984,14875,9527,39114,6511,13015,5783,168624,3121,36564,382,317,162.23,7.3,3,444,19,3,591,49,128.4,20,52.4,53,138.9,243,6.4,559,142,70,37,70,14.8,181,4.8,63,1.67,58.1,21.8,8,5,13,15.36,348.3,,100.4,84,2,99,15,156,76,25970104,4806054,25467300,0.51,4222274
むつ市,864.2,54103,62.6,24077,27443,26197,1331,5140,19726,2500,17438,117,-,375,2720,727,2000,272,477,72259,57122,650,5636,2791586,35,1187,966505,419445,112,775,41303,474,3149,61181,145,1188,17777,1586,240,1862,256,5296,5373,9135,22789,4790,2789,875,4416,22626,8861,34083,9801,21370,7000,163148,2666,41380,469,339,67.31,20.4,2,574,38,67,909,93,178.4,22,42.2,88,168.8,226,4.4,962,234,122,74,129,18.9,164,3.2,79,1.55,45.2,33.8,11,12,3,30.99,341.4,,96.2,82,2,101,15,166,90,41888346,5760037,41482132,0.36,5157247
つがる市,253.55,30934,122,10823,17173,16191,4837,2840,8514,1233,8924,2205,4,158,14200,11200,3050,49600,667,3873,899,11,17,16424,28,650,549947,239589,39,325,13093,268,1816,32838,77,648,9511,11178,48,279,281,3062,3153,9392,10817,2925,907,276,2069,10181,2952,7934,5467,7591,4677,83190,2333,28886,562,432,20.28,15.4,1,43,11,4,14,16,53.8,12,40.4,19,63.9,107,3.7,616,148,81,41,89,21.2,53,1.8,30,1.03,54.1,17.8,10,8,6,23.06,381.8,,87.2,40,1,49,25,98,46,24719726,2874443,24067731,0.25,8717476
平川市,346.01,30567,88.3,10049,17093,16035,3729,3578,8728,995,9572,1824,6,506,5110,2470,2650,10600,613,25122,19357,-,-,-,37,2776,8048761,1501740,34,387,20492,188,1226,21614,65,499,5994,6949,101,0,0,23239,1443,8851,9537,2704,1131,13,1066,11258,2300,3860,5500,6753,4435,89139,2571,25015,1034,463,16.58,11.2,-,-,17,19,64,17,56.7,11,36.7,16,53.4,153,5.2,515,123,88,39,59,17.4,69,2.3,33,1.12,12.8,61.5,6,0,13,14.28,498.6,,98.3,46,1,53,17,53,34,23596145,2701547,23077113,0.3,11713526
