Code,Name,総人口,日本人人口,外国人人口,住民基本台帳人口（総数）,15歳未満人口,15～64歳人口,65歳以上人口,人口集中地区人口,出生数,死亡数,転入者数,転出者数,昼間人口,総世帯数,一般世帯数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積(北方地域及び竹島を除く),可住地面積,課税対象所得,納税義務者数（所得割）,事業所数（民営）,従業者数（民営）,耕地面積,製造品出荷額等,製造業従業者数,商業年間商品販売額（卸売業＋小売業）,商業事業所数（卸売業＋小売業）,商業従業者数（卸売業＋小売業）,財政力指数(市町村財政),実質収支比率(市町村財政),実質公債費比率(市町村財政),歳入決算総額(市町村財政),歳出決算総額(市町村財政),地方税(市町村財政),幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,高等学校数,高等学校生徒数,労働力人口,就業者数,完全失業者数,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,雇用者数,役員数,雇人のある業主数,雇人のない業主数,家族従業者数,自市区町村で従業している就業者数,他市区町村への通勤者数,従業地による就業者数,他市区町村からの通勤者数,公民館数,図書館数,居住世帯あり住宅数,持ち家数,借家数,１住宅当たり延べ面積,非水洗化人口,ごみ計画収集人口,ごみ総排出量,ごみのリサイクル率,小売店数,飲食店数,大型小売店数,百貨店、総合スーパー数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,介護老人福祉施設数（基本票）,児童福祉施設等数（基本票）,保育所等数（基本票）,国民健康保険被保険者数
,単位,人,人,人,人,人,人,人,人,人,人,人,人,人,世帯,世帯,世帯,世帯,世帯,世帯,世帯,件,件,k㎡,k㎡,千円,人,事業所,人,ha,百万円,人,百万円,事業所,人,,%,%,百万円,百万円,百万円,園,人,校,人,人,校,人,人,校,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,人,館,館,戸,戸,戸,㎡,人,人,t,%,店,店,店,店,施設,施設,施設,人,人,人,施設,施設,施設,人
,出典,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）,令和8年　青森県統計年鑑　市町村データ100（県統計分析課）
02201,青森市,275192,271454,922,263512,28040,150122,84787,219275,1278,4225,6222,7383,278910,118483,118067,63211,41179,28834,13609,15757,749,367,824.61,259.6,355529,113923,12430,115343,83,129378,5800,971359,2800,22363,0.56,7.6,12.1,137546,132020,34298,24,1137,42,851,11363,21,546,6477,13,7348,134053,127394,6659,3432,17964,102517,105968,5896,2491,7185,3303,116398,7898,130316,10820,42,2,113690,76230,32780,113.04,16545,268195,96706,13.7,2181,1232,47,3,15,206,125,674,192,702,14,126,52,51137
02202,弘前市,168466,166298,641,159488,17417,95115,53922,115326,826,2741,4053,4696,179790,71022,70743,35083,26170,16479,7405,9619,481,226,524.2,294.51,204135,64491,7608,77072,139,231465,8532,468313,1774,15351,0.49,1.4,6.5,89194,87761,19964,10,409,33,589,6959,19,384,3799,9,5169,86270,82826,3444,10917,12995,54926,59916,3543,3121,6858,6660,68264,10881,90881,18936,15,4,67070,44170,20710,111.86,6056,162342,62275,8.8,1529,859,32,4,11,157,87,871,142,477,11,73,41,36089
02203,八戸市,223415,220832,1096,215080,25636,126567,69328,157255,1149,3348,5542,6425,233149,95671,95422,53067,32229,23837,11528,13085,690,318,305.56,204.45,300355,94714,10482,105095,47,572133,13066,734774,2354,18990,0.65,6.1,8.6,110996,106765,30852,16,593,41,724,10083,26,499,5508,14,7104,111242,106198,5044,3182,23408,77724,89088,5501,1911,5625,2370,94477,9672,113507,16981,28,3,92330,60970,29700,106.34,25513,218732,74961,10.7,1847,1087,31,3,16,167,92,573,148,488,10,57,31,41058
02204,黒石市,31946,31778,116,30428,3214,17723,10943,15037,141,554,649,827,29842,11661,11618,6039,3092,3105,1202,1649,84,44,217.05,73.56,32391,12370,1341,11592,33,55541,2652,42032,291,1988,0.37,11.4,13,20341,19145,2955,2,30,4,88,1242,2,58,638,1,590,17516,16654,862,2458,4054,10016,12313,625,546,1617,1287,9840,6638,14954,4938,10,0,11280,9190,1610,135.86,3992,31187,10075,13.3,258,163,5,0,2,15,9,57,14,50,2,10,5,7233
02205,五所川原市,51415,51001,97,49811,4852,27798,18363,14552,197,972,1233,1334,52374,20908,20797,11053,6460,5491,2670,3359,123,88,404.2,171.08,54529,19044,2778,20942,93,46901,1615,103625,642,4312,0.33,9.6,9.4,35318,33567,5270,4,66,11,176,1990,6,115,1033,4,1510,25970,24488,1482,3220,4797,16071,18117,1126,797,2379,1805,17734,6413,25075,7000,2,3,20050,14900,4560,133.01,6076,50868,18515,15.3,587,338,8,1,5,41,22,126,31,129,6,9,8,12177
02206,十和田市,60378,59560,310,57361,6398,33001,20320,26838,280,946,1434,1702,60654,25540,25462,13071,9009,6283,3089,3324,138,77,725.65,206.18,75639,25080,2931,26153,121,75146,3170,153330,663,5157,0.44,8.5,8.6,38375,36453,7298,3,105,14,231,2532,10,163,1437,3,1553,30640,29441,1199,3422,6518,18681,22376,1461,737,2518,1747,23363,5473,29630,5662,0,1,24590,17730,6060,122.26,5665,58471,19833,13.8,558,303,10,1,3,37,20,116,25,116,3,20,17,11885
02207,三沢市,39152,38211,659,37380,4994,23094,10385,21981,243,559,1842,2106,40284,17252,17164,8773,6791,3338,1626,2171,181,63,119.39,100.02,58878,17629,1812,15305,36,82087,2263,62432,326,2379,0.51,7.4,9.7,30213,29371,4828,3,210,7,139,1868,5,100,956,2,1000,20171,19186,985,1296,4471,13053,16101,787,399,989,671,13545,5405,20452,6671,1,1,16800,9860,6300,114.11,999,37864,14659,7.3,297,303,3,0,2,19,14,49,20,53,3,15,5,7152
02208,むつ市,54103,53212,153,51606,5714,29283,18249,16759,226,962,1665,2091,52910,24077,23996,12910,8717,6240,3287,3719,164,79,864.2,138.93,68645,21822,2434,17438,27,9533,724,102484,586,3924,0.37,5.1,14.1,39371,38421,5861,6,183,12,208,2196,9,149,1223,3,1239,26175,24989,1186,1258,4835,18568,20743,1007,613,1492,808,22042,2565,23747,1323,25,4,22820,16360,6050,117.12,6135,52951,20307,20.4,512,281,3,0,2,38,17,93,22,88,6,18,14,10697
